RegionCode,Region,Time Period,Birth rate - Total number of births,Birth rate - Male births,Birth rate - Female births,Birth rate - Crude birth rate,Birth rate - General fertility rate (GFR),Birth rate - Total fertility rate (TFR),Birth rate - Percentage of births outside marriage/civil partnership
E92000001,England,2010,687007,352385,334622,13.2,65.5,2,46.3
E12000008,South East,2010,106434,54600,51834,12.5,64.4,2.01,42.1
E10000030,Surrey,2010,14018,7134,6884,12.4,64.5,1.98,32.4
E07000207,Elmbridge,2010,90,931,959,14.3,75.7,2.23,28.2
E07000208,Epsom and Ewell,2010,918,452,466,12.4,61.9,1.93,32.5
E07000209,Guildford,010,1578,820,758,11.5,55.1,1.71,30.3
E07000210,,2010,887,481,406,10.5,63.2,2.06,34
E07000211,Reigate and Banstead,2010,1889,938,951,13.6,69.9,2.09,35.2
E07000212,Runnymede,2010,979,500,479,11.4,49.3,1.54,33.8
E07000213,Spelthorne,2010,1228,633,595,13.1,67.6,2.08,41.1
E07000214,Surrey Heath,2010,959,491,468,11.3,61.1,1.99,35.2
E07000215,Tandridge,2010,908,462,446,10.9,63.4,2.13,37.9
E07000216,Waverley,2010,1306,669,637,10.9,62.4,2.08,27.3
E07000217,Woking,2010,1476,757,719,15.8,77.5,2.28,26.8
E92000001,England,2011,688120,352731,335389,13,64.2,1.93,46.6
E12000008,South East,2011,107132,54936,52196,12.4,63.8,1.96,42.7
E10000030,Surrey,2011,14097,7143,6954,12.4,64.8,1.96,32.6
E07000207,Elmbridge,2011,1879,967,912,14.3,76.2,2.23,26.6
E07000208,Epsom and Ewell,2011,Hello,469,461,12.4,63.4,1.96,34
E07000209,Guildford,2011,1667,867,800,12.1,58.2,1.78,31.8
E07000210,Mole Valley,2011,873,419,454,10.2,61,1.92,28.5
E07000211,Reigate and Banstead,2011,1871,956,915,13.5,69.9,2.06,34.3
E07000212,Runnymede,2011,1007,509,498,12.5,58.5,1.88,36.5
E07000213,Spelthorne,2011,1239,612,627,12.9,65.9,1.99,42.9
E07000214,Surrey Heath,2011,974,512,462,11.3,61.4,1.92,32.6
E07000215,Tandridge,2011,913,472,441,11,60.8,1.93,36.7
E07000216,Waverley,2011,1296,636,660,10.6,61.2,1.91,30
E07000217,Woking,2011,1448,724,724,14.6,71.4,2.05,29.1
E92000001,England,2012,694241,356251,337990,13,64.9,1.94,46.9
E12000008,South East,2012,107858,55622,52236,12.4,64.5,1.97,42.9
E10000030,Surrey,2012,14237,7319,6918,12.5,65.7,1.99,33.3
E07000207,Elmbridge,2012,1826,913,913,13.9,75.4,2.22,27.6
E07000208,Epsom and Ewell,2012,952,474,478,12.5,64.6,1.97,32.2
E07000209,Guildford,2012,1677,877,800,12,57.3,1.76,31.7
E07000210,Mole Valley,2012,868,456,412,10.1,61.4,1.95,32.4
E07000211,Reigate and Banstead,2012,1872,956,916,13.4,69.7,2.05,34.7
E07000212,Runnymede,2012,996,489,507,12.1,56.4,1.82,38.6
E07000213,Spelthorne,2012,1224,633,591,12.7,65.6,1.95,45
E07000214,Surrey Heath,2012,940,494,446,10.9,60.2,1.9,34.8
E07000215,Tandridge,2012,966,487,479,11.5,64.9,2.07,41.3
E07000216,Waverley,2012,1385,762,623,11.4,66.4,2.1,29.4
E07000217,Woking,2012,1531,778,753,15.4,77.4,2.19,25.7
E92000001,England,2013,664517,340856,323661,12.3,62.4,1.85,46.8
E12000008,South East,2013,102190,52745,49445,11.6,61.3,1.86,42.9
E10000030,Surrey,2013,13569,6958,6611,11.8,62.9,1.9,32.5
E07000207,Elmbridge,2013,1848,955,893,14,77.6,2.27,26.4
E07000208,Epsom and Ewell,2013,909,457,452,11.8,61.1,1.85,32.8
